rank,PF,WR,n,avg_pnl,fold,moon,kronos,ticker
1,3.64,76.19%,21,23.6,moon,malefic,DIVERGES,GC
2,3.42,75.00%,8,324.9,exact,malefic,UNRELIABLE,NQ
3,3.26,75.00%,8,337.8,moon,benefic,CONFIRMED,NQ
4,3.24,62.50%,24,142.0,moon,benefic,UNRELIABLE,NQ
5,3.07,68.42%,19,50.9,moon,malefic,UNRELIABLE,GC
6,2.50,64.71%,17,23.6,moon,benefic,DIVERGES,GC
7,1.95,69.23%,13,179.2,prefix,benefic,DIVERGES,NQ
8,1.90,50.00%,8,31.3,moon,malefic,CONFIRMED,GC
9,1.75,68.42%,19,106.4,prefix,malefic,UNRELIABLE,NQ
10,1.69,59.55%,89,144.0,unknown,neutral,NEUTRAL,NQ
11,1.41,69.57%,23,53.4,moon,malefic,UNRELIABLE,NQ
12,1.01,40.00%,25,0.7,moon,benefic,UNRELIABLE,GC
13,0.92,45.61%,57,-3.4,unknown,neutral,NEUTRAL,GC
14,0.88,50.00%,14,-26.8,moon,malefic,DIVERGES,NQ
15,0.74,33.33%,12,-69.8,moon,benefic,DIVERGES,NQ
16,0.65,46.67%,15,-103.8,prefix,benefic,UNRELIABLE,NQ
17,0.46,50.00%,8,-7.2,prefix,malefic,DIVERGES,GC
